gene,Species,labs,chrMark,chr,dN,dS,dNdS,RPKM,Tau,GC3
ENSG00000101871,Chimp,Chimp-X,X,X,3.00669,3.15631,0.9525965447,31.6,0.7113820598,0.615502
ENSG00000047648,Chimp,Chimp-X,X,X,3.27182,5.87147,0.5572403504,13.9,0.8391023102,0.622543
ENSG00000130150,Chimp,Chimp-X,X,X,7.02044,3.13716,2.2378329444,26.3,0.3185943152,0.393064
ENSG00000165197,Chimp,Chimp-X,X,X,1.01784,2.05438,0.4954487485,9.02,0.6887167806,0.490141
ENSG00000188158,Chimp,Chimp-X,X,X,3.0363,4.10205,0.7401908802,11.3,0.9120531859,0.461592
ENSG00000044446,Chimp,Chimp-X,X,X,2.32786,5.24764,0.4436013141,137,0.6254200542,0.626407
ENSG00000184368,Chimp,Chimp-X,X,X,4.92959,4.2014,1.1733207978,242,0.7165302682,0.490305
ENSG00000102174,Chimp,Chimp-X,X,X,3.03753,3.18086,0.954939859,1.05,0.7257435312,0.482853
ENSG00000157625,Chimp,Chimp-X,X,X,3.0776,5.4942,0.5601543446,59.4,0.2586613298,0.346424
ENSG00000147041,Chimp,Chimp-X,X,X,1.02147,3.02169,0.3380459279,10.1,0.6493567251,0.466484
ENSG00000180182,Chimp,Chimp-X,X,X,1.00699,5.08999,0.1978373238,98.4,0.3784212614,0.414769
ENSG00000147100,Chimp,Chimp-X,X,X,6.93081,10.4749,0.6616588225,70.1,0.9170344507,0.742138
ENSG00000085224,Chimp,Chimp-X,X,X,16.1424,34.5939,0.466625619,106,0.625273224,0.317109
ENSG00000165288,Chimp,Chimp-X,X,X,5.10702,8.99284,0.5678984614,21.8,0.5561863489,0.336907
ENSG00000165194,Chimp,Chimp-X,X,X,1.0705,10.1065,0.1059219314,5.27,0.9401552754,0.718147
ENSG00000102362,Chimp,Chimp-X,X,X,4.94526,6.53197,0.7570855347,8.03,0.7145263158,0.580153
ENSG00000102384,Chimp,Chimp-X,X,X,3.24527,2.22079,1.4613133164,1.85,0.4224651661,0.414286
ENSG00000010671,Chimp,Chimp-X,X,X,1.00376,2.03061,0.4943145163,5.82,0.6591900312,0.525758
ENSG00000133138,Chimp,Chimp-X,X,X,1.26378,3.84356,0.3288045458,5.64,0.823528689,0.363372
ENSG00000102024,Chimp,Chimp-X,X,X,1.01506,3.20802,0.3164132393,173,0.6127473165,0.404722
ENSG00000147251,Chimp,Chimp-X,X,X,2.07913,8.43072,0.2466135751,11.7,0.4694717815,0.379223
ENSG00000125675,Chimp,Chimp-X,X,X,9.13488,18.5906,0.4913709079,58.2,0.9164591765,0.502283
ENSG00000101972,Chimp,Chimp-X,X,X,1.00406,5.07513,0.1978392672,133,0.6391747053,0.343924
ENSG00000076770,Chimp,Chimp-X,X,X,7.26432,5.42337,1.3394476128,1.69,0.8139152122,0.413598
ENSG00000129675,Chimp,Chimp-X,X,X,5.26074,5.67349,0.927249365,51.7,0.8705674931,0.412414
ENSG00000013619,Chimp,Chimp-X,X,X,2.08635,2.12131,0.9835196176,33.3,0.5820326895,0.618513
ENSG00000102287,Chimp,Chimp-X,X,X,1.36846,2.58544,0.5292948202,5.17,0.7190236686,0.634715
ENSG00000185010,Chimp,Chimp-X,X,X,7.88123,9.38998,0.8393234064,25.4,0.8068768116,0.426532
ENSG00000180815,Chimp,Chimp-X,X,X,13.3773,11.8641,1.1275444408,364,0.6339916059,0.550493
ENSG00000198759,Chimp,Chimp-X,X,X,1.01997,3.05413,0.3339641731,3.71,0.863394683,0.480144
ENSG00000179542,Chimp,Chimp-X,X,X,5.07296,7.7166,0.6574087033,37.4,0.8027488251,0.458543
ENSG00000177485,Chimp,Chimp-X,X,X,1.00741,2.02274,0.4980422595,36.4,0.401489118,0.331352
ENSG00000008130,Chimp,Chimp-A,A,1,2.04492,4.17068,0.4903085348,182,0.8303338417,0.768692
ENSG00000157933,Chimp,Chimp-A,A,1,2.08206,2.61206,0.7970950131,258,0.698155811,0.909879
ENSG00000157911,Chimp,Chimp-A,A,1,2.58224,6.36306,0.4058173269,157,0.4178251599,0.865854
ENSG00000142611,Chimp,Chimp-A,A,1,10.2794,14.6612,0.7011295119,4.58,0.733556289,0.836993
ENSG00000116213,Chimp,Chimp-A,A,1,2.34394,4.75252,0.4931993974,107,0.6391262136,0.75705
ENSG00000162413,Chimp,Chimp-A,A,1,2.18942,9.43018,0.2321716022,249,0.3331618936,0.859375
ENSG00000162426,Chimp,Chimp-A,A,1,1.03067,5.94129,0.173475794,112,0.7602393162,0.837981
ENSG00000142599,Chimp,Chimp-A,A,1,2.02389,11.8628,0.1706081195,391,0.4281888654,0.677378
ENSG00000049239,Chimp,Chimp-A,A,1,8.51887,6.08286,1.4004711599,57.5,0.8961410382,0.813688
ENSG00000171608,Chimp,Chimp-A,A,1,1.02446,8.80225,0.1163861513,27.8,0.3599615385,0.843719
ENSG00000171603,Chimp,Chimp-A,A,1,2.01684,8.85795,0.227686993,1540,0.8164433186,0.700315
ENSG00000171824,Chimp,Chimp-A,A,1,1.00997,2.57258,0.3925903179,234,0.4158934708,0.543084
ENSG00000116786,Chimp,Chimp-A,A,1,4.05543,7.23768,0.5603218158,672,0.7122699387,0.763
ENSG00000142627,Chimp,Chimp-A,A,1,1.05526,6.08662,0.1733737279,33.4,0.7555439394,0.81877
ENSG00000157191,Chimp,Chimp-A,A,1,1.76102,3.96167,0.4445145608,148,0.5852380952,0.646154
ENSG00000159363,Chimp,Chimp-A,A,1,4.69684,11.6972,0.4015354102,381,0.8190282012,0.813485
ENSG00000074964,Chimp,Chimp-A,A,1,7.83228,19.7568,0.3964346453,267,0.5509967846,0.821197
ENSG00000117154,Chimp,Chimp-A,A,1,1.08946,5.6606,0.1924636964,589,0.8432935323,0.746305
ENSG00000127463,Chimp,Chimp-A,A,1,1.00698,5.30424,0.1898443509,157,0.2664991625,0.646881
ENSG00000142798,Chimp,Chimp-A,A,1,26.8345,49.6988,0.5399426143,19.5,0.7172258065,0.757181
ENSG00000162552,Chimp,Chimp-A,A,1,1.09425,4.0511,0.2701118215,6.38,0.8197611912,0.811321
ENSG00000184677,Chimp,Chimp-A,A,1,9.20159,5.66179,1.6252086354,56,0.2367993154,0.589516
ENSG00000057757,Chimp,Chimp-A,A,1,1.01044,2.0903,0.483394728,578,0.6246594481,0.566038
